,label
1637,2
1469,2
2128,2
1399,1
2572,0
2919,3
1057,2
2529,3
2572,1
176,0
1732,3
2213,2
303,1
847,2
2087,1
2752,3
2690,2
1922,2
1588,1
863,2
2790,3
551,0
1751,2
1796,3
2554,2
1653,2
2215,1
2587,2
465,0
2618,0
1625,0
525,2
290,1
247,2
2194,2
2885,2
2688,3
2823,2
26,2
106,2
65,1
1716,2
305,0
2368,0
2606,0
1388,1
2526,3
2775,0
2670,2
317,2
2724,2
2721,2
2241,0
2850,2
1414,2
1085,0
1250,1
147,1
2095,2
478,1
1675,2
2719,1
918,1
940,1
692,1
2408,0
876,2
1465,3
746,0
1341,1
709,2
1337,1
1667,1
2684,2
2159,2
2580,2
2317,3
697,0
2937,2
1448,1
645,3
1069,2
1842,2
1049,2
1467,3
2523,0
1602,0
1003,1
2070,3
1813,3
1726,3
673,1
2379,2
416,2
1573,3
625,2
617,2
2306,0
2243,2
2830,3
1727,2
639,0
2432,1
2011,2
892,0
2172,0
2369,0
2868,0
1735,1
1043,0
2085,2
957,3
510,3
914,2
2840,3
2109,1
594,0
77,2
2514,3
1711,2
2844,3
2070,0
2425,2
731,3
1992,1
1650,3
625,0
1299,0
841,2
1980,1
1596,3
168,2
1375,2
1643,2
1259,2
1755,3
1791,2
539,1
1316,2
1494,2
2758,3
2430,3
2773,0
2733,3
2270,2
158,3
2328,2
2802,1
2699,3
18,1
442,1
1181,0
393,1
758,0
2090,0
1559,0
579,1
950,2
2389,0
114,2
2518,3
1187,3
964,1
2178,1
716,2
2788,3
2199,0
864,0
2304,2
1432,2
1449,3
1369,2
839,1
615,3
1694,0
1005,3
507,3
2560,0
2739,0
2423,0
1570,3
1624,2
2018,2
2475,0
2206,0
2077,0
1794,2
2704,2
813,2
2231,2
2043,3
357,0
136,3
344,1
1250,3
1118,1
2463,0
2618,3
555,3
2483,1
2147,3
2486,2
1990,0
1381,2
1608,1
1724,1
755,0
2819,1
88,3
656,2
869,0
2838,1
2805,2
2285,1
1890,2
559,1
2166,3
1461,0
606,0
43,2
799,3
692,3
2131,1
2599,0
1433,0
1142,3
513,2
1453,0
744,2
436,3
1840,3
381,2
1411,1
526,1
1549,1
490,2
44,2
2503,0
1664,1
2092,1
1911,3
1498,1
151,1
2891,3
1186,3
134,3
2272,1
2760,1
2008,0
136,2
494,3
298,3
1748,1
1155,1
552,2
874,1
1131,0
884,1
2792,3
2857,0
2093,3
380,2
2242,0
2164,1
2642,0
1,0
2347,0
258,2
113,3
2308,0
249,1
14,1
1289,1
2387,1
78,0
360,1
2605,0
1820,3
844,3
1374,2
516,2
2058,3
1949,3
771,2
1420,3
2110,1
1610,1
1210,2
1481,1
1164,0
2313,2
1386,1
33,1
1172,1
836,3
714,2
751,1
2032,2
1572,3
14,0
1445,3
1181,1
567,3
127,2
2062,0
982,2
549,0
14,3
699,0
1208,0
1171,0
2515,3
2520,0
2520,2
787,1
391,0
330,1
1982,3
1785,3
1426,2
2219,2
1973,3
760,0
2799,3
2865,0
1713,3
2472,0
124,1
2791,1
2388,2
398,2
773,0
2537,2
2533,2
746,2
51,0
308,3
2114,2
1625,1
1783,0
2064,1
2877,2
2892,2
2787,3
1776,3
2384,2
1462,2
61,0
2203,3
744,3
1601,3
2878,1
766,0
981,1
456,1
1024,1
1139,2
2162,1
2706,1
1456,3
768,2
338,2
1883,2
1271,3
2698,2
2824,2
2224,1
1849,0
518,0
1028,1
930,0
179,2
159,2
234,0
2440,0
536,1
2102,3
2559,2
928,2
2547,1
634,2
1553,0
1185,3
2478,3
349,2
2093,2
271,2
940,0
111,3
1090,2
2845,2
2630,3
920,3
1737,0
1145,2
829,0
1357,2
2329,0
2477,3
335,3
1595,0
1162,3
1947,3
1335,3
1801,3
2045,0
1975,3
2368,3
2579,0
1264,1
2464,0
790,0
1266,3
2497,3
1321,2
2327,2
1974,2
1639,2
500,3
519,2
2647,3
653,1
908,0
1812,0
63,0
1657,2
1333,3
1137,3
713,1
2012,2
2858,1
991,0
1708,1
2460,3
2611,0
1556,2
1974,3
2263,3
2048,0
2161,3
2086,1
2647,2
1852,1
2297,2
682,3
2219,3
2195,1
147,3
2750,3
1333,2
1772,1
2880,3
2877,0
2113,0
2132,2
1749,1
1787,3
1156,2
729,1
1278,1
2422,2
131,3
2014,1
2531,0
1823,3
2870,2
1041,1
277,1
1887,0
1706,3
1818,3
1575,0
627,1
786,0
1848,2
862,0
2073,1
2155,2
2426,1
454,3
1223,2
2230,2
2164,2
1169,0
739,1
2764,0
2081,3
2615,3
1844,2
643,1
652,2
1217,2
244,0
437,0
2636,2
306,2
650,2
2833,0
1492,1
348,3
2423,2
446,1
190,1
158,1
1574,2
679,0
833,0
1108,3
509,3
1474,3
2300,2
1565,3
2457,1
1790,1
1393,2
1020,1
1156,3
2815,2
426,3
920,1
2552,0
2389,2
885,3
840,2
2127,2
1745,1
2725,0
1652,1
2332,2
2634,2
1229,1
647,2
2686,1
2060,0
2637,0
2457,2
1765,1
2070,2
1370,3
2666,0
1616,3
2030,0
1150,3
983,0
2588,3
1413,2
2869,1
1564,3
2423,3
30,3
2011,0
246,1
561,3
1372,3
1062,3
1191,2
1979,1
625,3
2909,3
1608,3
1661,2
2385,2
2286,1
2578,0
2647,1
1744,0
2899,1
766,3
2559,1
2849,3
1487,1
355,3
1761,1
304,2
1770,0
2161,1
2626,3
2450,2
1231,2
1094,1
2837,1
2106,2
2558,3
1105,2
649,3
1960,1
2055,2
2170,3
1215,2
72,3
712,2
2238,1
2812,0
1796,1
2496,1
379,2
1087,3
716,0
225,1
1534,0
2866,1
2067,1
1336,0
1566,3
702,0
336,1
2377,2
1039,2
1590,0
1137,2
852,2
2442,2
2208,1
2348,1
891,0
1521,2
1333,0
2892,1
359,3
1659,2
382,0
2842,2
2867,3
394,2
528,0
175,0
2520,3
1253,1
873,0
2818,3
448,1
2331,1
402,1
1125,0
1066,2
2315,1
2777,2
2858,2
585,2
2262,3
2198,2
700,2
2779,2
2414,1
721,2
1552,0
1659,3
1931,1
2177,2
2293,3
2804,1
989,0
1488,3
2723,0
278,1
1587,1
2418,1
2589,0
2153,0
600,0
1956,2
2073,0
99,3
47,2
967,3
2075,3
1775,0
433,2
1568,0
305,2
2902,1
61,3
1313,3
2206,1
1212,2
2187,3
2361,0
721,1
883,3
1398,3
1079,3
918,0
194,1
1103,0
1825,0
2596,1
1505,2
578,1
2321,3
975,1
1422,0
974,2
870,0
2299,0
1756,3
2237,0
1705,3
1112,3
373,3
1238,1
508,1
2509,2
1407,3
332,3
503,1
2510,1
2842,0
542,0
382,2
1717,2
2865,2
1605,2
2777,0
506,2
1073,0
349,1
421,0
858,1
1611,1
362,3
1302,0
566,2
1782,3
438,2
2603,2
1527,0
1864,3
2063,0
28,2
2000,0
2680,0
2595,3
365,0
2104,2
127,0
2474,0
1577,1
258,0
1718,1
1170,2
213,3
2453,3
2295,2
2163,3
4,0
2876,3
2257,3
2452,1
249,3
2421,1
1609,3
1057,0
74,3
971,3
2290,2
1982,1
1790,2
2614,3
1544,3
370,3
1907,2
94,1
1247,2
466,3
522,2
2733,2
1765,0
1533,3
978,2
79,3
977,3
2685,3
2534,1
1904,0
1495,1
1128,3
1454,2
688,1
357,3
1435,0
583,0
1908,2
267,0
969,0
351,0
13,2
847,1
461,2
1056,3
1515,3
1203,2
2136,0
2848,0
1541,0
206,1
408,0
953,1
2710,0
2006,2
1433,1
842,1
2901,1
226,3
897,2
245,2
2510,3
1619,2
1858,3
2860,0
416,1
361,1
854,2
777,0
2740,2
590,0
1879,0
2091,2
1154,3
2415,1
225,3
882,2
340,1
2364,3
134,1
1188,3
49,1
2243,1
1627,3
2382,2
1660,3
1491,2
182,1
2486,1
1782,2
1764,1
2184,2
1882,2
506,1
2287,2
1994,3
2820,1
1364,3
1213,2
1023,2
992,1
2308,1
1668,0
663,0
1142,2
2757,3
81,2
145,1
838,1
355,0
2421,3
2085,3
2438,2
1071,1
1773,3
1880,1
2480,1
2217,2
1305,2
2746,0
2414,3
45,0
1734,0
336,2
694,3
595,0
1525,1
751,3
2546,1
1428,1
82,2
827,2
510,0
2788,1
2508,1
203,1
865,0
2879,3
2320,3
1308,1
169,2
2409,0
1203,3
1419,1
2842,1
683,3
2542,1
35,0
556,3
208,1
879,0
1921,0
1218,3
2602,0
1015,0
1818,2
2705,2
2650,3
808,0
94,0
573,1
1419,0
860,0
1516,1
187,2
2169,0
176,3
742,1
2191,0
1513,2
895,3
1771,1
443,2
87,0
1397,1
1200,3
1931,0
451,2
337,0
2669,2
1669,3
1068,0
1941,3
1087,1
1860,0
2649,0
1329,1
2420,1
2437,3
49,3
1027,1
348,1
2568,1
1332,1
1399,3
2429,2
696,3
477,1
324,0
2336,2
1536,1
442,3
1401,2
1559,2
2391,3
1609,1
1774,0
620,3
848,0
803,1
101,0
1891,1
1493,1
1571,1
2594,1
2629,0
2079,2
1030,3
1699,3
1214,2
789,2
1377,1
418,3
1622,0
894,2
1258,3
1757,1
904,1
2768,3
982,1
86,2
1542,1
2053,2
1592,3
1598,2
1036,3
1130,0
1301,0
1361,0
459,1
2009,1
1055,2
2190,0
2790,0
1791,3
1367,3
1824,0
2346,0
1270,1
1749,3
715,2
277,0
1025,2
463,3
1653,0
842,0
1573,0
196,0
1883,0
2470,3
2049,0
1303,0
476,2
2020,0
1586,3
1829,0
1205,2
701,2
809,3
2445,3
261,3
1977,1
767,2
2109,0
781,0
1219,3
1284,3
2875,3
977,1
2246,2
1483,0
2185,0
1634,2
79,2
1408,1
1418,3
2781,3
532,2
1732,2
1108,0
1176,0
2783,3
948,0
2551,0
2802,0
1806,3
1075,3
1920,0
933,1
840,0
1636,0
2905,0
2420,2
523,1
671,3
2642,2
807,3
1070,1
308,0
91,3
616,0
467,2
2778,3
2269,1
1850,3
53,3
1749,0
2149,1
2052,2
1991,0
1091,0
117,0
183,3
384,2
2909,0
2412,1
2279,1
529,1
363,2
353,1
387,2
2259,1
2346,3
1797,3
2172,1
2621,1
585,1
1246,3
105,3
2650,1
1100,2
2678,2
1935,1
1406,3
1763,3
2413,0
1613,2
2859,3
327,1
2179,0
2625,1
2605,1
1159,1
1909,2
2921,2
1534,2
935,3
1348,2
960,2
1826,1
1052,0
2118,0
1435,2
1764,0
2132,3
1813,1
1429,3
2447,1
2061,0
1866,0
2348,3
758,2
1580,1
256,0
1224,0
1707,0
1828,2
2312,3
2768,2
486,0
1969,1
708,0
657,2
2304,3
87,1
679,3
879,1
2188,3
2527,0
1964,1
725,0
991,1
2278,2
30,2
2663,1
404,0
2375,0
378,2
2794,0
1951,0
534,2
2221,3
569,0
1497,3
523,0
236,3
2248,2
899,2
2046,1
2048,1
732,3
615,1
457,1
1188,1
1882,1
1175,3
982,3
1981,2
2231,0
1786,3
32,3
2642,1
37,1
1665,2
522,1
824,1
958,0
452,2
818,3
913,3
1758,1
2353,3
942,2
736,1
411,2
2662,3
759,1
651,2
2717,0
169,1
1820,0
428,2
2353,1
2606,1
536,2
273,1
668,3
2075,0
608,3
2022,0
657,0
1520,3
2057,0
509,0
2528,1
1205,0
769,0
938,0
2558,0
877,3
2366,2
2854,1
2406,0
316,2
2580,0
613,2
1387,2
2507,0
2452,3
417,3
2728,0
1449,0
1459,3
960,0
1918,1
1204,2
136,1
1183,1
1912,3
1560,3
1403,0
140,1
2266,3
208,2
29,2
2718,2
2495,1
1084,3
1671,0
873,2
1847,0
2504,3
1134,2
1215,1
1762,1
2,3
1784,3
598,3
1674,2
2068,0
2575,1
669,0
1953,2
1484,3
2793,1
2428,1
107,2
1531,3
2375,3
216,1
1728,0
2216,3
2384,1
2655,3
468,3
1837,1
1328,1
1494,1
1712,1
2275,1
2802,3
1180,0
2452,0
2310,2
2122,2
176,1
1975,0
1014,0
1189,1
1481,0
2732,2
1740,3
2285,2
609,2
429,3
303,2
723,0
1534,1
2643,0
2884,1
1364,2
2263,0
2106,3
683,1
1615,2
443,0
1457,1
1952,0
1582,3
699,2
605,2
363,1
883,1
2556,3
2870,3
776,3
1587,2
972,1
924,0
1327,3
1463,2
2543,0
2829,2
2737,3
631,3
233,2
2051,1
1911,2
2681,1
276,1
1832,3
533,3
309,2
626,2
2660,3
988,0
1396,3
2380,0
1843,2
997,0
2705,3
1670,2
1127,3
709,3
165,1
2835,2
2807,0
2644,1
805,3
1505,1
954,0
1380,3
709,1
2295,1
135,0
103,3
2516,2
1666,2
2011,1
2704,3
2112,3
138,0
1877,0
1583,0
2568,2
156,1
95,1
1894,0
172,0
1450,0
252,1
1637,0
2417,0
28,3
2695,2
1285,2
1869,2
1412,2
1172,0
2552,2
1031,2
2068,1
215,0
1855,2
1334,3
675,0
2855,3
2304,1
178,2
239,3
1772,3
223,3
2750,2
2277,1
887,0
1620,2
2639,0
592,1
148,3
1816,0
1040,0
1059,0
2380,2
243,1
2821,3
438,3
2419,0
1024,0
88,2
1611,3
1972,3
2082,0
1543,0
67,3
1622,1
2634,0
2070,1
2537,3
152,2
2169,3
1350,2
2297,3
2587,1
698,2
1243,0
2166,2
1019,2
1392,3
941,1
2075,2
1950,2
2301,1
317,0
1130,2
2283,1
1829,1
2863,0
2233,3
2380,1
1153,0
2749,3
1734,2
452,3
1048,3
1469,0
178,1
893,1
103,0
1217,3
2721,3
2377,0
1714,0
1221,0
930,3
2121,1
1046,3
589,1
598,2
518,1
1783,3
1629,0
1691,2
90,3
2116,2
854,3
2609,0
24,1
2328,3
1413,1
2540,3
2533,1
781,2
138,1
1958,1
422,2
1715,0
1448,0
17,1
1773,1
2545,1
525,3
2112,2
2109,2
2894,1
2558,2
707,2
419,0
479,0
1463,0
1175,2
654,0
596,0
107,0
2734,1
2449,2
296,0
274,1
1277,0
2810,3
853,3
2891,2
1236,1
473,3
1329,2
908,1
810,1
1978,0
2869,0
2495,2
1630,0
257,2
2338,1
8,0
1964,0
1264,0
702,3
1896,1
2252,2
2221,2
757,0
545,3
646,1
1291,2
802,2
1510,3
1609,0
1095,0
2542,3
1696,2
145,2
1195,0
2583,2
1382,1
228,3
160,0
146,2
2729,3
2777,3
1159,3
1645,2
2881,3
1290,3
1871,3
141,2
2619,3
1833,3
1907,3
1983,0
832,2
804,0
1729,0
1268,2
1848,3
2834,1
1771,3
174,3
213,1
2786,2
741,1
2749,2
1387,1
2796,3
1051,2
1297,1
2472,1
1864,2
2516,1
1360,1
573,3
2422,0
2508,3
553,0
2265,1
2323,0
1536,0
2244,2
1388,2
2006,3
2681,0
1787,2
2703,2
174,1
1571,3
2451,0
1634,0
500,1
2646,3
1464,3
1688,1
120,1
227,1
2047,0
1219,0
1433,2
1124,3
1183,2
2617,0
323,3
2294,2
2602,2
317,1
1894,1
419,1
835,3
2005,2
1495,2
698,1
100,0
2793,2
476,1
1531,0
335,2
2640,2
2584,2
784,2
330,0
980,2
1760,1
906,0
1448,2
2578,2
2692,2
304,3
2210,3
1052,2
185,1
1562,3
1877,2
2808,0
1290,1
963,3
2409,3
1865,3
2185,2
431,2
1971,1
1443,2
1960,3
1798,3
421,1
429,0
1800,0
917,0
2223,3
266,2
2026,1
818,2
1653,3
581,1
2346,2
219,2
360,0
466,2
1137,1
1501,2
1953,3
1619,0
1592,2
105,0
1754,2
2102,2
240,3
2662,2
1152,2
2307,1
680,3
2658,3
714,3
1808,3
2213,0
2326,2
1945,2
2584,1
401,0
661,3
1421,0
1207,3
414,0
327,0
1710,0
1759,1
1393,3
1702,2
2284,0
2609,2
956,1
1706,0
379,3
2553,1
1885,3
1377,0
243,3
2077,3
27,1
922,3
2414,0
1218,2
1486,1
2816,2
1487,3
241,1
2638,0
2168,1
2678,1
424,2
2323,3
1304,0
633,1
2418,2
2384,3
1989,2
1397,0
2351,2
2581,3
756,2
1982,0
1602,1
2068,2
2616,3
2000,1
2774,2
2443,2
117,3
140,2
600,3
728,3
665,3
2872,0
1007,0
1846,1
51,2
2798,0
2206,2
2140,0
564,3
2318,0
834,0
2016,0
2788,0
2251,1
2250,0
1185,2
600,1
1917,0
2651,1
2569,2
570,0
1583,2
1190,0
355,2
1160,2
2556,2
1257,2
1045,0
62,2
1612,2
1789,3
293,3
2691,3
2564,3
2333,1
1378,0
790,2
1390,3
2548,3
1048,1
2171,3
218,3
2550,1
1501,1
214,3
1874,2
667,2
929,2
2355,2
1937,1
902,3
1160,3
1302,2
2405,1
1578,1
2814,2
1857,1
2090,1
637,0
2433,1
1940,0
1622,2
2734,3
2546,0
292,0
673,2
1476,1
2707,2
487,2
739,0
893,0
977,0
2033,2
2431,1
937,2
2824,3
2697,3
518,3
1651,1
1894,2
225,0
2716,2
2141,1
524,2
2603,3
2254,1
2655,1
2816,1
2075,1
1962,1
659,1
1411,2
1576,2
2370,2
1803,2
315,1
514,2
1764,3
2813,0
2432,0
1369,0
2402,1
1926,0
2896,1
272,2
2764,1
471,2
1169,2
843,2
2565,2
575,0
1104,1
29,1
1678,2
489,3
2436,2
2173,2
211,0
2328,0
2199,2
2218,0
1062,1
2350,3
2422,3
1677,0
2619,1
377,2
367,1
923,3
1873,1
1935,2
2090,2
2089,1
482,2
166,1
773,3
1897,1
2195,3
2255,1
1114,2
1234,2
1962,2
2278,0
591,3
1410,1
1942,0
510,2
164,0
1605,0
267,3
372,1
707,1
890,3
2440,1
703,3
1574,3
1624,1
2816,3
1296,0
1480,3
1674,3
1468,3
1480,1
707,0
1545,1
2506,2
2792,1
2027,2
2365,3
1823,1
549,2
2811,2
997,1
1555,1
347,1
1878,2
256,3
371,1
1776,0
389,0
2530,0
1505,0
1650,1
1159,2
567,0
2033,1
957,0
2279,0
877,0
1743,0
610,0
1660,0
2183,0
2857,3
1918,2
734,1
687,1
540,1
338,1
2131,0
299,1
516,3
1386,3
1670,0
2882,2
2519,0
630,2
883,2
546,0
1130,3
2427,3
2144,2
486,3
1076,2
1344,0
791,0
2092,3
1942,3
2117,0
1477,1
1935,3
2291,1
2450,0
95,2
1450,1
1209,2
609,3
836,0
1676,2
395,0
1167,0
2232,1
376,3
1801,1
2144,3
536,0
2528,3
2631,3
2100,2
565,1
1695,2
2864,3
2470,1
929,3
511,0
602,2
1304,1
1699,2
194,0
171,3
2137,3
358,3
343,2
1786,1
1727,1
1554,1
2574,1
1623,3
2622,0
2795,2
358,1
1202,3
2722,2
1503,3
2180,0
2618,2
147,2
2738,1
1888,2
217,1
372,2
2868,3
1071,3
1122,1
1807,0
285,2
2349,2
375,2
1295,3
1076,1
1189,0
2615,2
1466,2
767,1
1557,1
2803,1
2384,0
674,3
201,3
752,2
2228,1
1744,2
336,0
520,0
675,2
2723,3
747,3
216,3
263,3
883,0
2890,0
301,2
2508,2
487,0
193,0
1103,1
1261,3
57,0
815,0
1833,0
918,2
689,3
1193,1
1234,0
1793,2
1066,1
2923,2
2295,0
1446,3
229,3
722,1
772,0
2884,0
2843,0
2402,0
2629,2
1122,2
2054,0
2598,2
1992,2
549,1
2136,1
1837,2
2677,2
1251,1
804,3
379,1
1545,3
2617,1
706,3
1141,3
2760,0
838,3
2425,3
2629,3
589,0
486,2
957,1
388,0
1317,1
170,0
2083,3
1438,0
1661,0
1877,1
2318,1
151,2
2133,3
1643,1
1878,3
2062,1
2261,1
2761,1
983,1
2079,1
1138,0
1322,1
92,0
1430,3
1528,0
2222,1
2642,3
2493,2
1486,3
242,3
469,0
185,2
1941,0
211,1
2544,0
677,1
1751,0
1299,1
1490,3
1866,1
658,0
1531,2
203,0
2538,0
1831,3
1452,2
1673,0
482,0
2364,1
2118,1
2544,2
302,0
1697,1
2540,1
1928,1
1664,0
365,1
1070,3
67,0
2766,3
989,2
1923,3
2146,3
324,3
733,1
448,3
1856,1
2179,1
171,2
1712,3
121,1
921,1
2402,2
6,0
806,1
2683,0
2667,2
1898,0
2508,0
1700,1
1681,2
1806,1
2361,3
2405,0
436,0
2148,3
774,0
2137,2
925,2
2712,3
2197,1
794,2
2738,3
1559,3
2439,3
2133,1
1806,0
2413,2
2541,3
829,3
1414,0
1038,2
250,2
2366,3
239,1
310,1
1961,0
2371,0
2502,0
944,0
762,0
559,0
623,1
385,3
1892,2
1256,3
1701,0
1157,1
1152,1
2890,3
1809,3
672,2
197,2
273,3
2484,2
878,3
2486,0
2817,0
2288,3
2466,3
777,3
2730,1
2804,0
2432,3
999,2
1432,3
1346,2
1414,3
2531,1
1511,0
427,3
1605,3
626,0
1120,1
1280,2
627,0
2025,0
572,0
783,1
1100,1
661,2
927,1
917,3
708,3
506,3
1723,3
123,3
2512,3
898,3
880,1
265,3
97,2
996,3
1752,0
2620,1
289,0
1866,2
175,1
295,3
2256,0
2125,3
1123,0
2562,2
1562,2
1934,2
2239,3
2513,0
2323,2
100,3
1624,3
2289,1
972,2
1957,1
785,0
331,0
728,0
589,2
1946,0
1234,1
2600,2
1644,1
2410,0
12,3
870,1
608,0
1087,2
1149,2
1793,0
1648,3
2167,0
1237,0
96,3
2232,3
2228,0
2861,2
2701,3
1621,0
239,2
580,3
1638,1
2833,2
1113,1
52,1
1473,0
52,2
187,3
870,3
1611,2
508,2
2539,1
1164,1
550,3
996,2
1539,1
1770,3
1810,3
598,1
73,0
281,3
509,1
908,3
603,2
439,3
1910,2
1757,0
1582,0
1190,3
1420,2
2101,2
1852,2
2677,0
2757,2
541,3
670,0
1750,2
1554,3
1363,0
2411,3
1482,2
417,2
2046,2
2570,3
402,3
1128,0
1341,0
624,1
2569,0
2885,0
911,0
2617,2
605,1
355,1
381,1
2572,3
2845,3
241,3
670,3
999,0
2339,0
1818,1
2132,1
224,3
1728,1
1153,1
2273,2
2073,3
1212,1
427,1
1576,0
796,3
1662,2
1970,0
417,0
113,1
1334,2
307,3
1125,3
1222,2
1769,2
216,0
1668,1
392,1
1678,3
2881,0
1750,3
1809,0
1257,1
601,2
619,2
2147,1
2888,1
407,2
2676,3
1376,0
2659,2
785,3
235,0
1166,1
2526,1
1819,2
2399,0
456,3
4,2
1768,3
2295,3
2583,3
1101,3
631,2
2224,0
2744,2
1135,2
539,0
1538,0
1504,1
2544,1
2037,3
596,2
1959,2
1365,0
2874,2
879,2
2655,2
311,2
2088,2
2247,2
2101,0
1603,2
463,2
80,2
637,1
656,0
433,1
1127,2
1354,1
1780,3
521,3
705,0
2748,2
1877,3
1207,1
2848,1
1354,2
2017,2
1644,2
2924,2
253,2
618,2
370,1
1245,3
2004,3
1406,2
1805,3
2184,3
2142,2
2751,1
469,1
106,3
307,2
1827,0
933,0
1873,2
502,2
870,2
160,1
845,3
713,3
2385,1
2008,1
644,0
835,0
1817,1
760,2
1943,3
13,0
789,0
2661,2
820,1
770,0
2694,3
1983,1
1117,1
1868,1
1068,2
2218,3
2275,2
968,0
2742,0
1242,1
22,0
2062,3
849,3
409,3
1246,0
952,2
2289,2
211,2
179,3
1671,1
9,3
168,3
220,1
502,3
356,0
2246,3
986,3
2717,3
1223,1
2635,0
2228,2
1908,1
712,3
2812,1
1515,0
2220,3
2084,3
888,0
2387,3
2411,1
195,3
2235,2
2563,2
926,3
2447,3
1016,1
755,1
552,3
890,2
2905,2
1464,1
1904,2
1015,3
2618,1
1997,1
449,2
2745,3
513,3
2387,2
2557,2
794,0
553,1
2902,2
2827,3
529,0
2624,3
132,0
1202,2
2319,3
457,2
1738,0
1685,1
2366,1
1609,2
586,2
823,2
1830,3
1195,3
2378,1
1940,2
474,3
2042,2
203,3
2684,3
1881,1
421,2
454,0
1071,0
2125,1
2214,3
1475,0
2483,0
2897,1
1666,0
1080,2
885,1
1155,0
55,1
708,2
2465,0
380,1
1479,0
1972,1
2008,3
2372,2
716,1
1614,1
48,1
1355,3
2443,1
182,0
606,2
71,0
2078,3
1053,1
676,0
2111,3
2864,0
2059,3
449,1
816,2
81,3
1617,3
77,0
1602,3
812,0
2434,3
1278,0
186,2
92,1
2608,2
2542,0
124,2
2568,0
949,3
1607,2
2680,2
1442,3
2245,1
867,1
2491,3
2249,0
2874,1
903,1
2405,2
2619,2
2300,0
1965,2
2158,3
802,3
2863,1
1754,0
1619,1
223,2
2719,2
1910,1
1441,1
1874,0
1522,0
1878,1
45,1
948,1
1506,1
2589,2
1518,3
2769,0
1353,2
2278,1
1008,2
1220,1
1353,3
68,2
373,1
2240,0
1542,3
1287,3
2645,0
459,0
1976,2
732,2
373,2
735,1
224,2
107,1
353,3
2803,2
1839,1
2236,1
2404,3
160,3
1600,3
1369,1
2553,3
1140,3
2878,2
467,0
2252,3
352,2
1763,2
2058,2
1633,3
1032,2
2914,3
2592,0
1965,0
1453,1
603,1
224,1
597,3
1074,1
1987,2
1480,2
2084,1
2287,3
1523,1
2450,1
1676,1
2538,3
1795,0
660,3
96,0
2709,0
292,1
2249,2
766,2
188,1
1003,0
2648,1
1828,0
2775,2
577,3
2264,3
1946,3
555,2
72,0
554,3
2400,2
1734,1
31,1
1081,2
482,3
1200,2
614,2
894,0
259,2
2120,3
1066,3
2159,0
577,0
1429,0
2521,1
2806,2
453,1
1253,3
2578,3
1198,3
244,1
366,0
1334,0
1039,0
207,1
2685,1
450,2
1673,1
538,3
1670,1
2846,3
666,1
584,1
2509,0
941,3
2737,2
616,3
1424,2
406,1
1555,3
2832,0
2457,0
1037,0
1064,0
1063,2
1055,3
1338,1
1470,1
1027,0
2395,2
119,0
890,0
2547,2
762,2
1313,1
293,1
2376,2
612,3
794,1
1788,3
1315,3
1821,0
1084,2
104,3
602,0
613,0
2316,0
2182,1
717,1
872,2
2302,1
2225,2
2831,2
159,0
2511,1
1575,1
990,3
2074,1
1192,1
245,1
430,0
1710,3
1746,3
532,0
781,1
1252,3
2514,0
1958,3
1438,3
2249,3
907,3
2232,2
1901,2
218,1
5,2
2636,3
2084,0
1494,3
165,3
